지하철역,호선명,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,1,2,3,작업일자
창동,4호선,-2287,-15493,-27439,-67228,-40187,-21721,-13258,-12495,-7412,2829,6994,9811,11908,23189,46056,50294,27232,22254,22525,16225,6801,230,0,0,20231103
이수,4호선,-121,-5513,-7408,-28601,-16262,-10385,-6350,-4399,-4080,-1797,3041,9608,14772,21859,34336,23364,6903,7637,6226,5690,2278,517,0,0,20231103
충무로,4호선,-96,-503,16975,45081,150971,75266,35963,21733,16603,9778,-3638,-15082,-26346,-56698,-99769,-40905,-34037,-30522,-19761,-9614,-429,181,0,0,20231103
한성대입구(삼선교),4호선,-24,-5554,-4663,-12308,-3732,495,4296,2841,-931,-2024,-3487,-5109,-8208,-5783,1212,8395,1286,3092,5886,5791,5261,1297,0,0,20231103
혜화,4호선,-17,-1266,15403,32558,97549,69402,42886,32078,41417,55985,22400,-21915,-35729,-39438,-44498,-24111,-57429,-81416,-66766,-19515,-255,420,0,0,20231103
회현(남대문시장),4호선,-20,-539,16466,45628,126331,87356,66825,54195,29248,8825,-10910,-31730,-56266,-83718,-101155,-46720,-49367,-15695,-6749,-972,542,105,0,0,20231103
강동,5호선,-115,-9633,-8021,-24102,-19852,-11590,-7635,-6448,-7199,-537,-506,-892,-495,-4286,12374,19803,13592,13882,13918,11309,5767,0,0,0,20231103
강일,5호선,-2,-1725,-3038,-21385,-15277,-11428,-8469,-5583,-3286,-2895,-334,913,-418,4272,9246,14261,7699,8272,7040,5222,1485,0,0,0,20231103
개롱,5호선,-12,-2879,-5311,-15444,-7266,-6067,-5617,-3458,-3032,-1526,547,1104,1235,3794,9626,13412,6827,6035,8172,4897,1776,0,0,0,20231103
개화산,5호선,-3,-3966,-3870,-14284,-2993,-4454,-3217,-2086,-1948,-1842,-1093,-168,-296,-603,2489,9035,5583,6033,5340,3907,1360,51,0,0,20231103
거여,5호선,0,-5976,-11900,-37422,-26178,-15612,-10179,-7182,-6928,-2712,-1229,2867,6159,9223,24260,25251,12441,10472,13695,8318,2876,0,0,0,20231103
고덕,5호선,-9,-2675,-3547,-12371,-6051,-4961,-4167,-5739,-6005,1767,-2474,-2679,-4309,-4420,14281,15561,5805,4478,3914,4507,2436,214,0,0,20231103
공덕,5호선,-5,-1139,931,8144,42843,21145,2407,717,-2516,-3114,-3034,-3872,-4636,-11201,-16126,-1598,-5066,-7461,-3351,92,862,0,0,0,20231103
광나루(장신대),5호선,-10,-3356,-6999,-21119,-8705,-5524,-1211,-4132,-6767,-4593,-3209,-4676,-4175,2260,8499,13472,6236,2449,6967,7015,2078,0,0,0,20231103
광화문(세종문화회관),5호선,-6,-414,25445,69600,242890,116119,48260,39943,26527,18369,-1404,-23194,-44252,-86681,-164735,-61714,-57194,-58291,-34493,-9995,-718,2,0,0,20231103
군자(능동),5호선,-90,-7060,-5576,-23838,-21051,-5311,-1754,-1540,-1433,-898,1226,2812,5611,11594,27090,19180,8990,6842,8157,6298,4782,965,0,0,20231103
굽은다리(강동구민회관앞),5호선,-3,-6776,-11294,-28075,-22398,-11558,-8478,-5673,-4849,-2942,-559,1512,5291,8522,19085,18084,10174,7485,10273,5861,2406,0,1,0,20231103
길동,5호선,-5,-4048,-4967,-13295,-9499,-3356,-4562,-2939,-3048,-2529,1100,1334,3650,4950,9778,12022,6500,4828,5016,3636,2014,1,0,0,20231103
김포공항,5호선,-2,2548,7308,2033,3006,3236,4982,3220,2385,1142,-2575,-5143,-4686,-7554,-12604,-11424,-11234,-11903,-10741,-3624,242,4,0,0,20231103
까치산,5호선,-255,-25335,-35486,-109074,-123643,-59626,-30967,-22521,-19350,-11862,-897,12429,22536,40860,89329,75007,47012,47710,37285,26694,7679,461,0,0,20231103
답십리,5호선,-38,-8407,-9858,-40986,-38447,-16966,-10309,-6957,-6731,-2729,-1105,-587,-157,4657,23661,21380,13112,12945,13622,9055,2992,4,0,0,20231103
동대문역사문화공원(DDP),5호선,0,87,2442,7796,25212,8517,1198,603,1052,570,-167,-784,-2724,-7959,-15438,-4939,-2111,-1237,-166,336,185,0,0,0,20231103
둔촌동,5호선,-4,-3622,3785,-13316,-6730,-4191,-2404,-2636,-2443,-258,-884,223,-3190,-467,9612,9878,2512,3644,3416,3448,1140,0,0,0,20231103
마곡,5호선,-2,3946,9824,-7711,25569,17968,2626,90,373,109,-1290,-4974,-13686,-17516,-13435,2116,-2047,-1526,2002,1746,1571,0,0,0,20231103
마장,5호선,0,-2032,-2024,-8728,-4230,-1498,-859,-1360,-1815,-2176,-2516,-1665,-2118,536,5631,3755,1677,1660,2999,2750,936,5,0,0,20231103
마천,5호선,-56,-7001,-12045,-39132,-23051,-9585,-4789,-4288,-4920,-1339,-1049,4483,5713,8481,17218,18238,9603,10269,10319,6495,2520,0,0,0,20231103
마포,5호선,-13,-1423,-1261,-6254,32222,12358,23,227,-1618,-1547,-1488,-1422,-546,-3647,-9021,7882,-5435,-9914,-2921,1201,1197,0,0,0,20231103
명일,5호선,-26,-4300,-10711,-27715,-20117,-9952,-7402,-5907,-6258,-1642,-607,3380,5163,8208,25779,20645,9833,8313,9111,6062,2303,27,0,0,20231103
목동,5호선,-6,-8088,-15387,-41001,-43458,-15501,-10979,-9719,-7185,-1384,231,3618,9670,19347,50642,37612,18535,15406,11579,10443,4003,0,0,0,20231103
미사,5호선,-16,-7418,-14982,-55601,-43712,-13023,-7965,-5328,-4869,-5085,1890,592,6862,18882,37078,46042,18944,11918,11073,10706,3452,0,0,0,20231103
발산,5호선,-3,-1348,3750,11008,85200,38181,12669,7181,3519,2701,-2753,-9715,-14241,-28659,-37656,-3224,-12922,-15713,-10516,-2100,1612,0,0,0,20231103
방이,5호선,-1,-1735,-2934,-10050,5294,-349,-1830,-1520,-249,-1134,1804,1527,2184,5640,2344,7763,1108,-3237,-4638,2380,912,0,0,0,20231103
방화,5호선,-18,-5336,-7529,-20178,-11723,-7383,-5449,-5644,-4317,-2905,-149,-235,354,2511,12229,14440,8061,7840,8737,5780,2267,217,0,0,20231103
상일동,5호선,-61,-7890,-22422,-59238,-39301,-24332,-16372,-12162,-7627,-2873,-1809,3030,3859,14958,36873,37964,19404,20485,17669,12501,5833,981,0,0,20231103
서대문,5호선,-13,-2290,9317,47108,135380,31352,6140,2316,-1004,2495,-5866,-15704,-25035,-53141,-83452,-16662,-13289,-10054,-6381,14,899,23,0,0,20231103
송정,5호선,-30,-2698,-3799,-11627,-9669,-6343,-4218,-3327,-2651,-1560,-855,213,935,1720,5618,7854,4550,5240,5555,3852,1623,0,0,0,20231103
신금호,5호선,-43,-2976,-3963,-11005,-14685,-8187,-4251,-3768,-3027,-883,740,2554,2131,8263,16113,10113,6539,6218,6326,4346,1614,1,0,0,20231103
신길,5호선,-62,-2263,-2661,-10659,-9789,-5995,-4477,-2197,-2161,-1101,-237,802,1345,3362,7179,7442,6463,5058,5972,4481,1415,0,0,0,20231103
